artist_name,track_name,track_id
The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki
Ozuna,Hey Mor,1zsPaEkglFvxjAhrM8yhpr
Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
NewJeans,Hype Boy,0a4MMyCrzT0En247IhqZbD
Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8
Henrique & Juliano,Traumatizei - Ao Vivo Em Brasília,0JIYoXtJfORxI6gRpHv6ZW
Feid,Normal,0T2pB7P1VdXPhLdQZ488uH
Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
Vishal-Shekhar,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF
Maiara & Maraisa,A Culpa É Nossa - Ao Vivo,7nwHsYxiuHo98dLI7UVkyn
Eyedress,Jealous,1aXV8GrmQLvgoFtBPERP7E
Paloma Faith,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8
Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723
Feid,Prohibidox,3PpWCS95gDUDRPko3u1MZ9
Felix Jaehn,Call It Love,5YdnOm5990Kfq1Jodws98B
Cults,Gilded Lily,3Z0qLOS0cqWKPHXkbTXmNF
Drake,Pussy & Millions (feat. Travis Scott),2KLwPaRDOB87XOYAT2fgxh
Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf
Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu
Jorge & Mateus,5 Regras - Ao Vivo,3gCWngngUs1uojw33vrE8K
PARTYNEXTDOOR,Break from Toronto,5fEB6ZmVkg63GZg9qO86jh
Offset,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6
Justine Skye,Collide (Sped Up Remix),1r6qzxz77Tvbrvqd1Q1MIN
Isabel LaRosa,i'm yours,37vVp2sWHuuIBOSl1NswP6
Outkast,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV
Lauv,I Like Me Better,0EcQcdcbQeVJn9fknj44Be
Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH
Tego Calderón,Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR
Jogja Hip Hop Foundation,Cintamu Sepahit Topi Miring,1ixNEKbIZTTZ5LIz3rr9jD
Martin Garrix,In the Name of Love,23L5CiUhw2jV1OIMwthR3S
Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",6VAS7m73rDopQe7BdrFMpD
Harry Styles,Keep Driving,2NcQic8JxdjAlAHuNbOIRE
Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4
SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs
Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs
Shubh,Baller,42TMa2hgBNjte4uV7jNCnQ
Miley Cyrus,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH
Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu
TWICE,Talk that Talk,0RDqNCRBGrSegk16Avfzuq
Drake,Major Distribution,46s57QULU02Voy0Kup6UEb
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF
Black Eyed Peas,Where Is The Love?,0xmjwnQ3FNE6HuWCt2nHdZ
Slipknot,Duality,61mWefnWQOLf90gepjOCb3
Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve
Drake,Trust Issues,4Wjhj0WjkyECccfHVIgaTq
Burna Boy,For My Hand (feat. Ed Sheeran),0HaRLPnr887lcQM2YQzkff
Bring Me The Horizon,Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj
Jessie J,Bang Bang,0puf9yIluy9W0vpMEUoAnN
Mau y Ricky,Llorar y Llorar - con Carin Leon,4YF13O2n16dcTyGgVmiGvN
Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2
Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i
Joel Corry,Lionheart (Fearless),5vlzH0ps6WDyb158oFTAb3
Beyoncé,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr
Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN
$uicideboy$,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk
Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4
Rihanna,SOS,30cSNer6TV8x2utjULVeQ5
Quavo,HOTEL LOBBY (Unc & Phew),4vVjPTApwXZwB2H3mBq3ml
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k
Chase Atlantic,Consume (feat. Goon Des Garcons),0X2bh8NVQ8svDQIn2AdCbW
Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq
Zola,AMBER,5UPpgOKi0UQMMMSzWWgJJe
Kendrick Lamar,Die Hard,2g6tReTlM2Akp41g0HaeXN
blackbear,hot girl bummer,6jRq8gaZhMUyy5RclRPcAf
Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z
benny blanco,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU
