artist_name,track_name,track_id
Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s
Ñengo Flow,Gato de Noche,54ELExv56KCAB4UP9cOCzC
Arcángel,La Jumpa,5MxFWjuqQIsbNWbMdMdbli
Cartel De Santa,Shorty Party,55ZATsjPlTeSTNJOuW90pW
AgroPlay,Nosso Quadro,1bzRhnrWU1l1u4Bby9ZbfQ
Shakira,Te Felicito,2rurDawMfoKP4uHyb2kJBt
TINI,Cupido,2xVcCDRgG3TrH69TatsUxp
Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK
Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h
MC Xenon,Sem Aliança no Dedo,22sAwsBH0NoNJXnrBenQuO
Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn
J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd
Tiësto,Lay Low,0zKbDrEXKpnExhGQRe9dxt
Matheus & Kauan,Não Vitalício (Nunca Mais) - Ao Vivo,4sqpSDnTrbS8v7RMNCUyqS
Eminem,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED
Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE
Gusttavo Lima,Saudade da Minha Vida - Ao Vivo,51FFbyL0PjkYtjXJQP0JoP
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0
80purppp,Hex,7D7e6hm2LiNd6nLuJF6K9Q
Nicki Minaj,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2
Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT
Eminem,Stan,3UmaczJpikHgJFyBTAJVoz
XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96
Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m
JAY-Z,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO
Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v
Future,Mask Off,0VgkVdmE4gld66l8iyGjgx
Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3
Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf
Isabel LaRosa,i'm yours sped up,4sFGNz4MYpGoz53ZGCwsiE
NLE Choppa,SLUT ME OUT,5BmB3OaQyYXCqRyN8iR2Yi
Drake,On BS,34tz0eDhGuFErIuW3q4mPX
Meghan Trainor,NO,0l0CvurVUrr2w3Jj1hOVFc
(G)I-DLE,Nxde,6NnCWIWV740gP7DQ8kqdIE
NATTAN,Love Gostosinho - Ao Vivo,2BlFIe0712LBUtTHxbqjme
J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8
Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B
Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
"Tyler, The Creator",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf
Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b
JAY-Z,Run This Town,7LR85XLWw2yXqKBSI5brbG
MC MENOR HR,Evoque Prata,0bBwi6ddYeTv5fXgHAdfiH
Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS
Gustavo Mioto,Quando Apaga A Luz - Ao Vivo,1nf1HJdTWXwf9XHQebGlOd
Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN
XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18
Nicki Minaj,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp
50 Cent,Candy Shop,5D2mYZuzcgjpchVY1pmTPh
"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0
Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W
SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A
5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE
Future,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi
Eminem,Not Afraid,7Ie9W94M7OjPoZVV216Xus
Lizzo,Special (feat. SZA),0rc1HCVoReqzzXF9jssqZk
Bakar,Hell N Back,3NRql0A1Ef4RCvT473iqgD
Mc Jacaré,Toma Tapa,2Vl7x4BkNhhJkEmQQMcV0V
Maroon 5,Animals,2bL2gyO6kBdLkNSkxXNh6x
Felipe e Rodrigo,Média Boa - Ao Vivo,1dMyIigB6MDsfD3xuG6TbO
Charlie Puth,Light Switch,1jEBSDN5vYViJQr78W7jr2
Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O
Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t
Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj
Joey Bada$$,Love Is Only a Feeling,7umZiitjVsEjMQ6HNddpUI
Dj LK da Escócia,Tubarão Te Amo,4UldILPVpnZO69ffK4B9aA
Rels B,lo que hay x aquí,5IlLm20JXhKbMtsH20NblC
Mc Paiva ZS,Casei Com a Putaria,1OZ4uv7OAP24Ix6j3vojLt
NLE Choppa,DO IT AGAIN (feat. 2Rare),5gAwpwuchaCGnJLlBMGBzp
Karan Aujla,52 Bars,6rFckZb1cuJYzsZiGHgqks
Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl
Nicki Minaj,Super Bass,3hlksXnvbKogFdPbpO9vel
Playboi Carti,Vamp Anthem,4CzhtKifG867Lu5DNQVBSA
Diego & Victor Hugo,Beijo de Glicose - Ao Vivo,6gyhp7IcNhTYzwlk8utsgP
MC Rogerinho,085 - Ao Vivo,7Ht57bh2FwiQLwRH9zqESG
Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm
G. V. Prakash,Vaa Vaathi,0cgwdBXXlPfXJXWf3wMs32
NF,MOTTO,3q9PVufz68TRvOao25IMNk
JID,Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u
Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",4hceSKjrkDTO0nMKFcb3sj
Miley Cyrus,You,6FAsJDkg4y5JSWP9ZMKlDj
Stray Kids,MANIAC,63irPUP3xB74fHdw1Aw9zR
Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),6NSMQFKgjpQb0KkjMDYIK0
Meghan Trainor,Mother,69ZzhvHnSSnzMO8SMYEJWb
Pitbull,Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl
The Kid LAROI,I GUESS IT'S LOVE?,0zotwiNo16aaUg76C4Fgl5
Manuel Turizo,Éxtasis,2X8AGLwb9F0JzJ9zT27a22
Drake,Broke Boys,45pUWUeEWGoSdH6UF162G8
Miley Cyrus,Island,0lJrPatloYarTbsKciShJu
Gusttavo Lima,Cara da Derrota - Ao Vivo,2bWVxK5GlPtS4D3FcLjGgQ
Ne-Yo,So Sick,6brl7bwOHmGFkNw3MBqssT
Summer Walker,No Love (with SZA),08SB2OtZkaliju77WYEKxk
Sech,Foto En Panty,4HehbhlVK81hZT5Yg7QmiR
DJ Cayoo,Sorrisin De Puto,2X5o4nRiocnoaaQ2wMwaeC
Eminem,Rap God,6or1bKJiZ06IlK0vFvY75k
NMIXX,DICE,1QpwvWMQGdOgA8MXXfgs4H
Cosculluela,Madura,5n2XTRsYFlZwNBp06KAjDX
Khalid,Location,152lZdxL1OR0ZMW6KquMif
