artist_name,track_name,track_id
The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g
Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],1RDvyOk4WtPCtoqciJwVn8
Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",2vPrBucKCfKmafHhSfJ2pt
Alesso,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the
Guilherme & Santiago,Se Ele Soubesse - Ao Vivo Em Goiânia / 2022,2zDwJnP9n9yCUyfiLIwkDM
Jeremy Zucker,comethru,18uwL0vNUanqZH0ro2QcOP
Billie Eilish,listen before i go,0tMSssfxAL2oV8Vri0mFHE
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz
Eminem,Venom - Music From The Motion Picture,2SL6oP2YAEQbqsrkOzRGO4
Clayton & Romário,Namorando Ou Não - Ao Vivo,0ZAL7RbP2FsM3rObV60o7T
Yung Lean,Ginseng Strip 2002,7v3rmoy5jcn4h5UqwQyCM3
Jung Kook,Dreamers - Music from the FIFA World Cup Qatar 2022 Official Soundtrack,5zSfwywpopZnxNn11CnXQt
Gusttavo Lima,Termina Comigo Antes,1K8AtBJXcdq5mywMnZuARP
Fred & Fabrício,Guarda Roupa - Ao Vivo,6obqb3vA4kufqEHibtF5W1
João Bosco e Gabriel,Assume a Gente - Ao Vivo,48LEhRW4gLMCVSYFEZvt8b
Daddy Yankee,Dura,6KuqAtoeVzxAYOaMveLNpH
"Tito ""El Bambino""",Flow Natural,2oeyvFG0mFFDHUxhPVObNk
Rammstein,Ausländer,7j43FohbLVulScL7S9sQZk
salem ilese,Mad at Disney,7aGyRfJWtLqgJaZoG9lJhE
Henrique & Juliano,Aquela Pessoa - Ao Vivo,5asabafNzfAzjUecDvuNES
Childish Gambino,Sober,6YuFv5d7iGeNnFMu6xphZl
Pitbull,Rain Over Me (feat. Marc Anthony),2cZrrQMjB63c0iIugYH9zS
A Day To Remember,The Downfall Of Us All,1KHKeIouP04dDtl0EetgED
Pritam,Balam Pichkari,18e3XXYCv4Tx8uUl1mP3CN
SEVENTEEN,Darl+ing,2j1Es5qEl4pD8GEe2WsYgP
Shawn Mendes,"Heartbeat (From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack) - “ From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack ”",1gACe11pZiy8Xv3SY0ocyz
Pharrell Williams,Hug Me,6eVM9lCmIqwGTUOoeH61Lu
Jesús Adrián Romero,Sumérgeme,4vmPvQY7m6MC77mKDdJIkD
Tiësto,Renaissance (The White Lotus) - Tiësto Remix,6CgnHnR0C1qsAiq4UAVO8B
The Rasmus,In the Shadows,1fr92Vupmcs2vgLMFVQ7rd
Kungs,Clap Your Hands,7g7OshelYRRnOSEMmisJVI
Oliver Heldens,Gecko (Overdrive) - Radio Edit,483XiZ5o13Cc1zoWV7jGml
Bea Miller,feel something,7JDWhC422Gtk1Bq0mL3OTC
I Prevail,There’s Fear In Letting Go,2OYtcqflvzQwh3cMPmTHs4
Miranda Lambert,Gunpowder & Lead,3z1PqYwMtct2Dm4R9lhWnT
System Of A Down,I-E-A-I-A-I-O,3RgDvs9Jpvn3kUuaTek1R5
The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",1NhjYYcYTRywc0di98xHxf
Avril Lavigne,Here's to Never Growing Up,0qwcGscxUHGZTgq0zcaqk1
Luan Santana,ERRO PLANEJADO - Ao Vivo,2TdOWHAolNaQx8gyRDVS1N
Korn,Here to Stay,5NHTtXGCdO7ul16xr0q93w
Cold War Kids,First,3omXshBamrREltcf24gYDC
Rain Fruits Sounds,"Rain and Thunderstorm, Pt. 1",03RI0ebBPQEMbkp0OqgwQ6
Coez,La musica non c'è,7MMJa7cjMadOSR6CFWvB1x
Josh A,Suicidal Thoughts,56TOfxnRzSRbFRw8J6C4IT
Murilo Huff,Dois Enganados,7McCAKExE8KsI2q4Y8wx4U
Alle Farben,Alright (feat. KIDDO),1vUOJpWc091SBYULNvz9mp
Willie Nelson,Roll Me Up and Smoke Me When I Die - Live,5iis9J2sptrUy0VIpFVIg1
Promoting Sounds,Memory,3UkPmK7Sk0wuLXzVnQihva
Oliver Tree,Hurt,6Ph8QwsRfZunN5e1GGBIqa
SICK LEGEND,MIDDLE OF THE NIGHT - HARDSTYLE REMIX,4pqAkUZlA17gsTxFjP4BDL
Khalid,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP
Jorge & Mateus,Então Valeu - Ao Vivo,5pNkAOWmHMAeEzenkvBXty
Peter McPoland,Romeo & Juliet,1VyA8mbSyXOdJx2lguR8Uu
Marília Mendonça,Bem Pior Que Eu - Ao Vivo,4UANYptjv2kpV6IY7IjXoJ
Golpe a Golpe,Estar Enamorado,5WhH88hPbiOk95Vz4rcbbQ
$uicideboy$,The Serpent and the Rainbow,2CkpD7gqMXrrpTCJ9TZ0bw
U2,Beautiful Day,1VuBmEauSZywQVtqbxNqka
Gorillaz,Andromeda (feat. DRAM),2C0KFbb4v9CNWR5c9jWcKC
Wisin,"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix",5YY7ht3PCArlLjLbcTiAvh
HoneyWorks,可愛くてごめん,2xBibqkmXJ4NQCe8lJeZco
HARDY,.30-06,73GyOpmUluAOb2yUVbuTkp
BTS,Coffee,4eqHEzFsCCiGALC1MHbqnU
Tyler Childers,Rock Salt and Nails (Live),20dkebBtPR4AJ8vVos41Gw
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),7kMfu3KUydmrFVGEAhjtyl
Green Day,Jesus of Suburbia,58KPPL1AdLHMvR2O2PZejr
Limp Bizkit,Hot Dog,6Zj3YsYfj8YTY9aGMDnpn8
$uicideboy$,Champion of Death,0qHbOme0fFyIWLNie9HG2t
Eminem,Unaccommodating (feat. Young M.A),0q2vG0UVuy6ajjcpkQHdZM
Hot Freaks,I Want to Be Your Boyfriend,3AxUulNOa2QSBXKedKDj5E
Sam Cooke,Bring It On Home to Me,0WVTQp3SOCuMr08jh1jweV
Sonu Nigam,Dil Dooba,6cUaCs1lKfDOyFKMkBF8ch
Gustavo Mioto,Anti Amor - Ao Vivo,3zlU0V45H1FcjZeGEVt8ih
j-hope,Blue Side,1nwdfbj4UyRMpa9L98a4Yi
Kalimba,Duele (Crazy),4sSfHheJ5F9G0bHiddFC6U
