artist_name,track_name,track_id
Israel & Rodolffo,Bombonzinho - Ao Vivo,4o6v3Oooyt7HF20idztRD4
Sam Smith,I'm Not Here To Make Friends,3i0FkJYlU4MFfYkjFHXXAM
Gustavo Mioto,Eu Gosto Assim - Ao Vivo,4ASA1PZyWGbuc4d9N8OAcF
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr
Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl
Zé Neto & Cristiano,Oi Balde - Ao Vivo,3mzbab4H0iZYkHggSEj0UX
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI
Matheus & Kauan,Pactos - Ao Vivo,2M4kQD87lKnAS9vFlb4Bez
Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ
TV Girl,Not Allowed,3IznIgmXtrUaoPWpQTy5jB
Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk
Israel & Rodolffo,Perdoou Nada - Ao Vivo,4r2O8NHomHiJnFKqhYnqy1
Luan Santana,SOLTEIROU - Ao Vivo,0AIA4KsMsyqur8FbTVhGNT
Pitbull,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r
Armani White,BILLIE EILISH.,27ZZdyTSQWI7Cug2d2PkqV
Baby Keem,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD
BTS,Yet To Come,10SRMwb9EuVS1K9rYsBfHQ
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl
JAY-Z,Numb / Encore,5sNESr6pQfIhL3krM8CtZn
Shawn Mendes,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6
Tokischa,Delincuente,2ROQe6QkIXODJRx0y8UjzV
Roar,Christmas Kids,40gk32E7YaTFoQwDIWv2SY
Peter Fox,Zukunft Pink (feat. Inéz),4YxZQd3I4rj1nqkXgvpCk4
J. Cole,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy
Tate McRae,that way,7l97ElWmIdVHWUaOeeU5ZC
Owl City,Good Time,1kPpge9JDLpcj15qgrPbYX
Murilo Huff,Perfeito Pra Ficar Sozinho - Ao Vivo,4cxQWmXmmbFoWvV8qipQTe
Daft Punk,One More Time,0DiWol3AO6WpXZgp0goxAV
