age,hours_per_day,while_working,instrumentalist,exploratory,tempo,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hiphop,frequency_jazz,frequency_kpop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_rnb,frequency_rock,anxiety,depression,insomnia,music_effects,streaming_service_Other,streaming_service_Spotify,streaming_service_YouTube Music,fav_genre_Country,fav_genre_EDM,fav_genre_Folk,fav_genre_Gospel,fav_genre_Hip-Hop,fav_genre_Jazz,fav_genre_K-Pop,fav_genre_Latin,fav_genre_Lofi,fav_genre_Metal,fav_genre_Pop,fav_genre_R&B,fav_genre_Rock
-0.4,0.0,1,0,1,120.0,3,0,3,0,0,3,2,2,1,2,0,2,3,1,6,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,0,1,77.0,1,0,0,0,0,3,1,0,0,0,3,2,2,3,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.4,-0.6666666666666666,1,1,0,118.0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,7,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.5,-0.6666666666666666,0,1,0,132.0,3,2,0,1,0,0,0,0,0,0,2,1,0,2,8,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.0,1,0,1,115.0,1,0,1,2,0,0,0,1,0,3,1,2,0,3,9,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,0.6666666666666666,1,0,1,157.0,0,0,1,1,0,3,1,0,1,1,3,2,1,3,7,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2,0.0,1,0,0,90.0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,7,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,-0.3333333333333333,1,1,1,128.0,0,1,3,0,0,1,0,0,1,1,3,2,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.5,1.0,1,0,1,169.0,1,0,0,1,2,3,1,3,3,3,0,2,3,1,7,8,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2,-0.6666666666666666,0,0,0,140.0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,10,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,3.0,1,0,1,96.0,3,1,0,3,0,1,2,1,1,1,0,3,2,1,3,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
