iter	Passed	Remaining
404	689	1013
405	691	1011
406	692	1009
407	694	1008
408	696	1006
409	698	1004
410	699	1003
411	701	1001
412	703	999
413	704	997
414	706	996
415	708	994
416	710	992
417	711	991
418	713	989
419	715	987
420	716	985
421	718	984
422	720	982
423	721	980
424	723	978
425	725	977
426	727	975
427	728	974
428	730	972
429	732	970
430	733	968
431	735	967
432	737	965
433	738	963
434	740	961
435	742	960
436	744	958
437	745	956
438	747	955
439	748	953
440	750	951
441	752	949
442	753	948
443	755	946
444	757	944
445	759	943
446	761	941
447	762	939
448	764	937
449	765	936
450	767	934
451	769	932
452	770	930
453	772	929
454	775	928
455	777	927
456	779	926
457	781	924
458	783	922
459	784	921
460	786	919
461	787	917
462	789	915
463	791	914
464	793	912
465	795	911
466	796	909
467	798	907
468	799	905
469	801	903
470	803	902
471	805	900
472	806	898
473	808	897
474	810	895
475	812	894
476	813	892
477	815	890
478	817	888
479	818	887
480	820	885
481	822	883
482	823	881
483	825	880
484	827	878
485	828	876
486	830	874
487	832	873
488	833	871
489	835	869
490	837	867
491	838	866
492	840	864
493	842	862
494	843	860
495	845	858
496	846	857
497	848	855
498	850	853
499	851	851
500	853	850
501	855	848
502	857	846
503	858	845
504	860	843
505	861	841
506	863	839
507	865	837
508	866	836
509	868	834
510	870	832
511	871	830
512	873	829
513	874	827
514	876	825
515	878	823
516	879	822
517	881	820
518	883	818
519	885	816
520	886	815
521	888	813
522	890	811
523	891	810
524	893	808
525	895	806
526	896	805
527	898	803
528	900	801
529	901	799
530	903	798
531	905	796
532	907	794
533	909	793
534	910	791
535	912	789
536	914	788
537	915	786
538	917	784
539	919	782
540	920	781
541	922	779
542	924	777
543	925	776
544	927	774
545	929	772
546	931	771
547	932	769
548	934	767
549	935	765
550	937	763
551	939	762
552	940	760
553	942	758
554	944	757
555	945	755
556	947	753
557	949	751
558	950	750
559	952	748
560	954	746
561	955	744
562	957	743
563	959	741
564	960	739
565	962	737
566	964	736
567	965	734
568	967	732
569	968	730
570	970	729
571	972	727
572	973	725
573	975	723
574	977	722
575	978	720
576	980	718
577	982	716
578	983	715
579	985	713
580	986	711
581	988	710
582	990	708
583	991	706
584	993	704
585	995	703
586	996	701
587	998	699
588	1000	697
589	1001	696
590	1003	694
591	1005	692
592	1006	691
593	1008	689
594	1010	687
595	1011	685
596	1013	684
597	1015	682
598	1016	680
599	1018	679
600	1020	677
601	1022	675
602	1024	674
603	1025	672
604	1027	670
605	1029	669
606	1030	667
607	1032	665
608	1034	663
609	1035	662
610	1037	660
611	1039	658
612	1040	657
613	1042	655
614	1044	653
615	1045	652
616	1047	650
617	1049	648
618	1050	646
619	1052	645
620	1054	643
621	1056	642
622	1058	640
623	1059	638
624	1061	636
625	1063	635
626	1064	633
627	1066	631
628	1068	630
629	1070	628
630	1071	626
631	1073	625
632	1075	623
633	1076	621
634	1078	619
635	1080	618
636	1082	616
637	1083	614
638	1085	613
639	1087	611
640	1089	610
641	1090	608
642	1092	606
643	1094	604
644	1095	603
645	1097	601
646	1099	599
647	1101	598
648	1103	596
649	1104	594
650	1106	593
651	1108	591
652	1109	589
653	1111	588
654	1113	586
655	1115	584
656	1116	583
657	1118	581
658	1120	579
659	1121	577
660	1123	576
661	1125	574
662	1127	572
663	1128	571
664	1130	569
665	1132	567
666	1133	566
667	1135	564
668	1137	562
669	1139	561
670	1140	559
671	1142	557
672	1144	556
673	1146	554
674	1148	552
675	1149	551
676	1151	549
677	1153	547
678	1155	546
679	1156	544
680	1158	542
681	1160	540
682	1161	539
683	1163	537
684	1165	535
685	1167	534
686	1169	532
687	1170	530
688	1172	529
689	1174	527
690	1176	525
691	1177	524
692	1179	522
693	1181	520
694	1182	519
695	1184	517
696	1186	515
697	1187	513
698	1189	512
699	1191	510
700	1192	508
701	1194	507
702	1196	505
703	1198	503
704	1199	502
705	1201	500
706	1203	498
707	1204	496
708	1206	495
709	1208	493
710	1209	491
711	1211	489
712	1212	488
713	1214	486
714	1216	484
715	1217	483
716	1219	481
717	1221	479
718	1222	477
719	1224	476
720	1226	474
721	1227	472
722	1229	471
723	1231	469
724	1233	467
725	1235	466
726	1236	464
727	1238	462
728	1240	461
729	1241	459
730	1243	457
731	1245	455
732	1246	454
733	1248	452
734	1250	450
735	1251	449
736	1253	447
737	1255	445
738	1257	443
739	1258	442
740	1260	440
741	1261	438
742	1263	437
743	1265	435
744	1267	433
745	1269	432
746	1270	430
747	1272	428
748	1274	426
749	1275	425
750	1277	423
751	1279	421
752	1280	420
753	1282	418
754	1284	416
755	1285	414
756	1287	413
757	1288	411
758	1290	409
759	1292	408
760	1294	406
761	1295	404
762	1297	402
763	1299	401
764	1300	399
765	1302	397
766	1304	396
767	1305	394
768	1307	392
769	1308	390
770	1310	389
771	1312	387
772	1313	385
773	1315	384
774	1317	382
775	1318	380
776	1320	378
777	1322	377
778	1324	375
779	1325	373
780	1327	372
781	1328	370
782	1330	368
783	1332	367
784	1333	365
785	1335	363
786	1337	361
787	1339	360
788	1340	358
789	1342	356
790	1343	355
791	1345	353
792	1347	351
793	1348	349
794	1350	348
795	1352	346
796	1353	344
797	1355	343
798	1357	341
799	1358	339
800	1360	337
801	1362	336
802	1363	334
803	1365	332
804	1367	331
805	1368	329
806	1370	327
807	1372	326
808	1373	324
809	1375	322
810	1376	320
811	1378	319
812	1380	317
813	1381	315
814	1383	314
815	1385	312
816	1386	310
817	1388	308
818	1390	307
819	1391	305
820	1393	303
821	1395	302
822	1396	300
823	1398	298
824	1400	296
825	1401	295
826	1403	293
827	1405	291
828	1406	290
829	1408	288
830	1410	286
831	1412	285
832	1413	283
833	1415	281
834	1417	280
835	1418	278
836	1420	276
837	1422	274
838	1423	273
839	1425	271
840	1427	269
841	1429	268
842	1430	266
843	1432	264
844	1433	263
845	1435	261
846	1437	259
847	1438	257
848	1440	256
849	1442	254
850	1444	252
851	1445	251
852	1447	249
853	1449	247
854	1450	246
855	1452	244
856	1454	242
857	1455	240
858	1457	239
859	1459	237
860	1461	235
861	1462	234
862	1464	232
863	1466	230
864	1467	229
865	1469	227
866	1471	225
867	1472	223
868	1474	222
869	1476	220
870	1478	218
871	1479	217
872	1481	215
873	1483	213
874	1484	212
875	1486	210
876	1488	208
877	1490	207
878	1492	205
879	1493	203
880	1496	202
881	1497	200
882	1499	198
883	1500	196
884	1502	195
885	1504	193
886	1506	191
887	1507	190
888	1509	188
889	1511	186
890	1513	185
891	1514	183
892	1516	181
893	1518	180
894	1519	178
895	1521	176
896	1523	174
897	1524	173
898	1526	171
899	1528	169
900	1530	168
901	1531	166
902	1533	164
903	1535	163
904	1536	161
905	1538	159
906	1539	157
907	1541	156
908	1543	154
909	1545	152
910	1546	151
911	1548	149
912	1550	147
913	1551	146
914	1553	144
915	1555	142
916	1556	140
917	1558	139
918	1560	137
919	1562	135
920	1563	134
921	1565	132
922	1567	130
923	1568	129
924	1570	127
925	1572	125
926	1573	123
927	1575	122
928	1577	120
929	1579	118
930	1581	117
931	1582	115
932	1584	113
933	1586	112
934	1588	110
935	1589	108
936	1591	107
937	1593	105
938	1595	103
939	1596	101
940	1598	100
941	1600	98
942	1602	96
943	1603	95
944	1605	93
945	1607	91
946	1609	90
947	1610	88
948	1612	86
949	1614	84
950	1615	83
951	1617	81
952	1619	79
953	1620	78
954	1622	76
955	1624	74
956	1625	73
957	1627	71
958	1629	69
959	1630	67
960	1632	66
961	1634	64
962	1635	62
963	1637	61
964	1639	59
965	1640	57
966	1642	56
967	1644	54
968	1645	52
969	1647	50
970	1649	49
971	1650	47
972	1652	45
973	1654	44
974	1655	42
975	1657	40
976	1659	39
977	1661	37
978	1662	35
979	1664	33
980	1666	32
981	1667	30
982	1669	28
983	1671	27
984	1672	25
985	1674	23
986	1676	22
987	1677	20
988	1679	18
989	1680	16
990	1682	15
991	1684	13
992	1685	11
993	1687	10
994	1689	8
995	1690	6
996	1692	5
997	1694	3
998	1695	1
999	1697	0
